
---- PROCESS STARTING ON: Wed, 06 Mar 2013 14:08:23 +0000 ----
[2013-03-06 15:08:24,224][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI4\nsS'x'\nI1\nsS'height'\np5\nI6\nsS'surface'\np6\nF10\nsS'width'\np7\nI3\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_yellow'\np11\ns."
[2013-03-06 15:08:24,224][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI117\nsS'x'\nI92\ns."
[2013-03-06 15:08:24,225][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI117\nsS'x'\nI58\ns."
[2013-03-06 15:08:24,225][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF24.5\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI96\nsS'x'\nI50\ns."
[2013-03-06 15:08:24,225][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI89\nsS'x'\nI36\ns."
[2013-03-06 15:08:24,225][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF482\nsS'height'\np5\nI50\nsS'width'\np6\nI39\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI69\nsS'x'\nI120\ns."
[2013-03-06 15:08:24,225][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI37\nsS'x'\nI58\ns."
[2013-03-06 15:08:24,226][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF58\nsS'height'\np5\nI10\nsS'width'\np6\nI14\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI34\nsS'x'\nI36\ns."
[2013-03-06 15:08:24,226][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF1496.5\nsS'height'\np5\nI89\nsS'width'\np6\nI45\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI30\nsS'x'\nI1\ns."
[2013-03-06 15:08:24,226][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI28\nsS'x'\nI30\ns."
